c0c540e2-30d5-4d7b-9ede-b1994aae5104;TERRAPLENAGEM MEDEIROS;Caçambas;medeiros@terramedeiros.com.br;89219-600;Joinville;santa catarina;Zona Industrial;SC;True;4,1
33aaca3a-fc09-4a4b-85dd-eaacacc4de9a;REI DAS DIVISÓRIAS;Divisórias;reidasdivisoriassc@gmail.com;89203-307;Joinville;santa catarina;Anita Garibaldi;SC;True;4,2
310fb42e-4878-4e3d-8667-c2383f07defc;KETERINE PERSIANAS E DECORAÇÕES;Persianas;contato@keterine.com.br;89203-300;Joinville;santa catarina;Anita Garibaldi;SC;True;4,4
0dba75d6-bcba-40c1-89fa-db3c51f42732;TONY VIDROS;Vidraçarias;tonyvidros@hotmail.com;89224-477;Joinville;santa catarina;Jardim Iririú;SC;True;3,8
47344272-4500-4a64-ba1f-c5f73810cb81;RACHADEL CENTRALVILLE REFRIGERAÇÃO;Refrigeradores - Conserto e Peças;centralville.contato@outlook.com;89220-000;Joinville;santa catarina;.;SC;True;5,0
c9f19b2e-937f-4fc7-bff0-16c73c996ecd;MÓVEIS TRAINOTTI;Móveis sob Medida;rafaela_dreger@hotmail.com;89225-670;Joinville;santa catarina;Aventureiro;SC;True;4,0
fa9980dd-5b5b-45eb-9047-3f5fafdbd827;MARMORARIA JOINVILLE;Mármores e Granitos;marmorariajoinville@hotmail.com;89221-515;Joinville;santa catarina;Saguaçu;SC;True;
ba85fe32-29f9-4536-8a05-2c3ba1fda363;GULLAS PIZZARIA & ROTISSERIA;Pizzarias;martinsalison7@gmail.com;89227-720;Joinville;santa catarina;Iririú;SC;True;4,6
75146da7-35b2-4d4d-a41c-d7f5faa4cc82;CASA DA TOALHA JOINVILLE;Cortinas;casadatoalhajoinvillesc@gmail.com;89227-690;Joinville;santa catarina;Iririú;SC;True;4,4
c8c32021-4cd6-4b5b-9e8d-d3246ff31f09;CASA DAS PERSIANAS;Persianas;casa.das.persianas@hotmail.com;89227-300;Joinville;santa catarina;Iririú;SC;True;
